,City,Response Code,Exec Time(s),Longitude,Latitude,Weather,Temperature (F),Cloudiness (%),Wind Speed (mph),Humidity (%)
0,tuktoyaktuk,200,0.14015984535217285,-133.0374,69.4541,Mist,14,90,2.3,92
1,aklavik,200,0.0746910572052002,-135.0107,68.2191,Snow,26.6,90,6.91,74
2,caravelas,200,0.07100605964660645,-39.2481,-17.7125,Clouds,74.41,77,9.13,69
3,kapaa,200,0.17352509498596191,-159.319,22.0752,Clouds,79.09,20,16.11,69
4,severo-kurilsk,200,0.09824919700622559,156.125,50.6789,Rain,35.58,100,23.11,97
5,aswan,200,0.07373285293579102,32.907,24.0934,Clear,85.32,0,8.25,14
6,petropavlovsk-kamchatskiy,200,0.10361003875732422,158.6483,53.0452,Clouds,33.8,90,6.71,100
7,bengkulu,200,0.2889399528503418,102.2655,-3.8004,Clouds,75.16,67,4.21,87
8,illoqqortoormiut,404,0.07560300827026367,,,,,,,87
9,yueyang,200,0.0845177173614502,113.0919,29.3333,Clouds,73.08,79,4.34,78
10,fevralsk,404,0.10404109954833984,,,,,,,78
11,tura,200,0.16640925407409668,90.2201,25.5198,Clear,70.2,9,4.83,75
12,torbay,200,0.07752490043640137,-52.7314,47.6666,Clouds,40.8,75,27.63,75
13,mazatlan,200,0.11896204948425293,-106.4167,23.2167,Clear,81.34,1,9.22,47
14,hobart,200,0.07355284690856934,147.3294,-42.8794,Clear,59.14,0,8.05,67
15,thompson,200,0.2665400505065918,-97.8558,55.7435,Clouds,23,90,9.22,86
16,ushuaia,200,0.09013104438781738,-68.3,-54.8,Clouds,39.2,20,3.44,70
17,busselton,200,0.07067203521728516,115.3333,-33.65,Clear,52.59,5,3.0,97
18,bluff,200,0.07219719886779785,168.3333,-46.6,Clouds,53.01,58,1.99,82
19,chuy,200,0.16895079612731934,-53.4616,-33.6971,Clear,62.71,1,6.06,91
20,mataura,200,0.32822608947753906,168.8643,-46.1927,Clouds,53.01,18,1.99,82
21,cape town,200,0.3034348487854004,18.4232,-33.9258,Clear,56.1,0,4.61,88
22,hilo,200,0.07178020477294922,-155.09,19.7297,Rain,77.02,1,9.22,57
23,new norfolk,200,0.10047221183776855,147.0587,-42.7826,Rain,57.99,0,8.05,67
24,touros,200,0.1485731601715088,-35.4608,-5.1989,Clouds,78.8,20,3.44,83
25,vaini,200,0.075347900390625,-175.2,-21.2,Rain,78.8,75,14.97,73
26,jamestown,200,0.07429289817810059,-79.2353,42.097,Clear,57.07,1,17.27,28
27,naze,200,0.0721290111541748,129.4833,28.3667,Clouds,66.2,20,10.36,55
28,sao filipe,200,0.1541440486907959,-24.4956,14.8961,Clear,72.86,4,13.87,73
29,mocuba,200,0.36691904067993164,36.9856,-16.8392,Rain,69.4,76,3.71,99
30,khatanga,200,0.07300591468811035,102.5,71.9667,Clouds,19.49,72,3.15,96
31,gazanjyk,200,0.16210317611694336,55.5154,39.2446,Clouds,68.74,97,6.04,56
32,hermanus,200,0.09772324562072754,19.2345,-34.4187,Clouds,57.99,37,5.99,76
33,ammon,200,0.10174274444580078,-111.9666,43.4696,Clouds,70.59,75,28.77,28
34,rikitea,200,0.07029080390930176,-134.9692,-23.1203,Rain,75.6,91,7.45,80
35,messina,200,0.07158493995666504,15.5497,38.1933,Clear,69.6,0,8.05,43
36,renqiu,200,0.30089807510375977,116.0936,38.6989,Clouds,50.92,25,3.91,24
37,hithadhoo,200,0.07098031044006348,73.0833,-0.6,Clouds,83.93,81,4.54,71
38,port alfred,200,0.09896588325500488,26.891,-33.5906,Clear,60.76,0,5.17,66
39,san quintin,200,0.1535961627960205,-115.95,30.4833,Clouds,65.89,93,16.89,69
40,kharp,200,0.07828187942504883,65.8081,66.8014,Snow,26.37,100,8.81,96
41,talnakh,200,0.0892338752746582,88.3972,69.4865,Clouds,12.79,47,1.16,93
42,coro,200,0.09989309310913086,-69.6734,11.4045,Clouds,80.28,82,16.28,79
43,hamilton,200,0.07921600341796875,-84.5333,39.1834,Clear,71.02,1,14.97,35
44,trinidad,200,0.32637596130371094,-64.9,-14.8333,Clear,84.2,5,2.53,58
45,taolanaro,404,0.07337784767150879,,,,,,,58
46,yellowknife,200,0.0699772834777832,-114.3525,62.456,Clouds,32.74,20,9.22,51
47,bhiwani,200,0.15253710746765137,76.1333,28.7833,Clouds,83.03,94,1.14,29
48,esperance,200,0.09230375289916992,121.9,-33.8667,Clear,50,0,13.8,81
49,dwarka,200,0.07806992530822754,68.9678,22.2394,Clouds,81.73,68,8.23,75
50,santa adelia,200,0.06991004943847656,-48.8042,-21.2428,Clouds,72.77,100,10.42,47
51,guanhaes,200,0.07471108436584473,-42.9325,-18.775,Clouds,60.33,100,3.62,80
52,avarua,200,0.2970139980316162,-159.775,-21.2078,Clouds,80.6,40,14.97,74
53,klaksvik,200,0.11776399612426758,-6.589,62.2266,Clouds,35.6,75,2.3,87
54,marawi,200,0.09305715560913086,124.2928,7.9986,Clouds,75.99,18,5.99,87
55,albany,200,0.1428530216217041,-73.9662,42.6001,Clouds,52.88,20,10.36,37
56,lekoni,200,0.07199692726135254,14.2591,-1.5843,Clouds,71.94,81,0.76,87
57,lagoa,200,0.07347512245178223,-27.9833,39.05,Clouds,60.98,100,19.89,90
58,puerto ayora,200,0.0736081600189209,-90.3518,-0.7393,Clear,79.66,0,13.8,65
59,upata,200,0.10251617431640625,-62.3989,8.0086,Clouds,79,96,1.99,87
60,qasigiannguit,200,0.1639389991760254,-51.1922,68.8193,Clouds,44.6,16,14.97,45
61,grindavik,200,0.07318305969238281,-22.4338,63.8424,Clouds,39.2,75,5.75,56
62,georgetown,200,0.1037149429321289,100.3354,5.4112,Clouds,78.31,40,5.75,89
63,calabozo,200,0.37406110763549805,-67.4293,8.9242,Clouds,83.66,91,3.36,61
64,sakakah,200,0.37018489837646484,40.2064,29.9697,Clear,77,0,10.36,13
65,faanui,200,0.08510875701904297,-151.75,-16.4833,Clouds,80.78,57,3.94,67
66,pevek,200,0.07178592681884766,170.3133,69.7008,Clouds,14.31,86,9.31,85
67,cherskiy,200,0.08072185516357422,161.3,68.75,Clouds,18.34,47,1.05,79
